,均值,标准差,偏度,峰度,均值t检验p值
Baseline,1.6495506866270222e-05,0.022599287855408975,-0.39530708224423156,9.129813668148044,0.9685329869967731
Cyberbullying,2.2870761471448684e-05,0.02819769550253011,-0.2964777771124948,5.537981013200117,0.9685329869967731
