metric,t_stat,p_val,baseline_mean,cyber_mean
收益波动率,-11.421475014615904,0.0003352644540549176,0.35456440626612296,0.45885856884936815
买卖价差,-8.68851029038491,0.0009659574525351278,0.036321945795639604,0.04697084366794886
市场深度,-2.3786756338686263,0.07609882216166397,1436.6905858072025,1507.7522810032187
Amihud非流动性,-6.8844433786373,0.002333082019993451,0.024984874586018214,0.03344844055334086
价格偏离度,-8.463880739932552,0.001067825922090731,0.04598726628388562,0.059905390939340206
